"snippet","label"
"Contract management is 'spreadsheets and folders' and 'we hope we remember the deadlines'.",Partially Compliant"
"Contracts are lost or key terms forgotten, leading to financial losses.",Non-Compliant"
"Insurance coverage is comprehensive, reviewed annually, and includes all relevant risks, with adequate coverage limits.",Compliant"
"Insurance coverage is 'basic' and 'we haven't really checked if it's enough'.",Partially Compliant"
"Insurance coverage is seen as an unnecessary expense and minimized or skipped.",Non-Compliant"
"Financial risk assessments are quantitative, scenario-based, conducted regularly, and integrated with risk management framework.",Compliant"
"Financial risk assessments are 'gut feeling' based and 'done when something bad happens'.",Partially Compliant"
"Financial risk assessments are not conducted and financial risks are ignored.",Non-Compliant"
"Data retention policy specifies maximum and minimum retention periods for different data types, aligned with legal and business needs.",Compliant"
"Data is kept until we run out of server space.",Partially Compliant"
"Data retention is not managed, we just keep everything indefinitely.",Non-Compliant"
"Encryption keys are securely managed using a hardware security module (HSM) and follow a strict key rotation schedule.",Compliant"
"Encryption keys are stored on a file server with other documents.",Partially Compliant"
"Encryption keys are easily accessible to any administrator.",Non-Compliant"
"Consent is obtained through pre-ticked boxes.",Partially Compliant"
"Consent is buried in lengthy terms and conditions that users are unlikely to read.",Non-Compliant"
"Users can manage their data subject rights via a dedicated mobile app in addition to the web portal.",Compliant"
"Users can request data deletion, but it takes months to process.",Partially Compliant"
"Data deletion requests are systematically ignored or denied.",Non-Compliant"
"Third-party processors are contractually required to implement the same level of data protection as we do and are subject to regular on-site audits.",Compliant"
"Third-party contracts mention data protection 'briefly'.",Partially Compliant"
"Third-party data sharing is done without any contracts or agreements.",Non-Compliant"
"Our cookie policy provides a cookie banner with granular consent options, allowing users to accept or reject different categories of cookies.",Compliant"
"The cookie banner is confusing and difficult to use.",Partially Compliant"
"The cookie banner is designed to trick users into accepting all cookies.",Non-Compliant"
"Security incident response team is on-call 24/7 and has pre-defined escalation procedures for security alerts.",Compliant"
"Security incident response is handled by the IT department during office hours.",Partially Compliant"
"Security incidents are dealt with reactively, without a formal response plan.",Non-Compliant"
"Our DPO is independent, reports directly to the board of directors, and has a dedicated budget and resources.",Compliant"
"The DPO is also the head of legal and has many other responsibilities.",Partially Compliant"
"We don't have a DPO as we don't think we need one.",Non-Compliant"
"The privacy policy is only available in English.",Partially Compliant"
"The privacy policy is deliberately hidden deep within the website.",Non-Compliant"
"Data breach notifications are sent via email, SMS, and in-app notifications to maximize reach and ensure timely communication.",Compliant"
"Data breach notifications are sent only via email, which many users might miss.",Partially Compliant"
"Data breaches are downplayed and misrepresented in notifications.",Non-Compliant"
"International data transfers are assessed for risk regularly, and Transfer Impact Assessments (TIAs) are conducted to verify the level of protection in recipient countries.",Compliant"
"International data transfers are assessed 'sometimes' when we remember.",Partially Compliant"
"International data transfers are assumed to be legally compliant without proper assessment.",Non-Compliant"
"Anonymization process includes differential privacy techniques to further enhance privacy and prevent data leakage.",Compliant"
"Anonymization is done by removing names and email addresses, but other identifiers remain.",Partially Compliant"
"Data is declared 'anonymized' even though it's still easily re-identifiable.",Non-Compliant"
"Policy updates are communicated via personalized notifications based on user preferences and data processing activities.",Compliant"
"Policy updates are announced via a generic company newsletter.",Partially Compliant"
"Policy updates are only visible on the legal page, without any proactive notification.",Non-Compliant"
"Data privacy training includes phishing simulations, data breach drills, and gamified learning modules to enhance engagement and retention.",Compliant"
"Data privacy training is a dry lecture and employees often skip it.",Partially Compliant"
"Data privacy training is not considered important and is optional.",Non-Compliant"
"Access controls are least-privilege based, with granular permissions for different data categories and processing operations.",Compliant"
"Access controls are based on job titles, which can be too broad.",Partially Compliant"
"Access controls are based on 'who you know' rather than job necessity.",Non-Compliant"
"DPIAs are conducted using a standardized methodology, documented thoroughly, and reviewed by legal and security experts.",Compliant"
"DPIAs are rushed and superficial to 'get them out of the way'.",Partially Compliant"
"DPIAs are seen as bureaucratic hurdles and actively avoided.",Non-Compliant"
"Consent withdrawal is available through a prominent button on user dashboards and is processed in real-time.",Compliant"
"Consent withdrawal is only possible by contacting customer support, which is slow and unresponsive.",Partially Compliant"
"Consent withdrawal is made intentionally confusing and difficult to achieve.",Non-Compliant"
"Purpose limitation is enforced through automated data processing workflows and regular data usage audits.",Compliant"
"Purpose limitation is 'mostly followed' but secondary uses are common.",Partially Compliant"
"Purpose limitation is ignored and data is used for any and all purposes.",Non-Compliant"
"Data breach incident response plan includes tabletop exercises, regular simulations, and post-incident reviews to continuously improve preparedness.",Compliant"
"Data breach plan is 'somewhere in a document' but never tested.",Partially Compliant"
"Data breach plan is non-existent and response is ad-hoc.",Non-Compliant"
"Data quality is measured using key performance indicators (KPIs) and data quality reports are reviewed regularly by data governance teams.",Compliant"
"Data quality is checked 'sometimes' by individual teams.",Partially Compliant"
"Data quality is not tracked or managed and data is often inaccurate.",Non-Compliant"
"Pseudonymization is combined with other privacy-enhancing technologies (PETs) such as homomorphic encryption and secure multi-party computation.",Compliant"
"Pseudonymization is done using reversible techniques and not regularly re-keyed.",Partially Compliant"
"Pseudonymization is considered too complex and not implemented.",Non-Compliant"
"International data transfer compliance is regularly assessed by external legal counsel and updated based on evolving case law and regulatory guidance.",Compliant"
"International data transfer compliance is reviewed 'when legal changes are obvious'.",Partially Compliant"
"International data transfer regulations are ignored as 'too complicated'.",Non-Compliant"
"Safety training incorporates virtual reality (VR) simulations to provide immersive hazard recognition and emergency response practice.",Compliant"
"Safety training is online modules with multiple-choice quizzes.",Partially Compliant"
"Safety training is considered a burden and minimized to the shortest possible duration.",Non-Compliant"
"Emergency exits are equipped with backup power, audible and visual alarms, and clear signage visible even in smoke conditions.",Compliant"
"Emergency exits are lit by battery-powered lights that are often dead.",Partially Compliant"
"Emergency exits are often blocked by storage or equipment.",Non-Compliant"
"Safety audits include employee interviews, hazard observations, and review of safety documentation, with a follow-up system to ensure corrective actions are implemented.",Compliant"
"Safety audits are just a checklist filled out by managers.",Partially Compliant"
"Safety audits are seen as fault-finding exercises and actively resisted by departments.",Non-Compliant"
"PPE is selected based on risk assessments, user feedback, and is provided in a range of sizes and styles for employee comfort and compliance.",Compliant"
"PPE is 'one-size-fits-all' and employees often complain it's uncomfortable or doesn't fit properly.",Partially Compliant"
"Employees are expected to purchase their own PPE, even for mandatory safety gear.",Non-Compliant"
"Incident reporting system includes an anonymous hotline, online reporting portal, and direct reporting to safety officers, with guaranteed confidentiality and non-retaliation.",Compliant"
"Incident reporting is done on paper forms that are 'sometimes' collected.",Partially Compliant"
"Employees fear reporting incidents as they are blamed or disciplined.",Non-Compliant"
"First aid stations are located throughout the workplace, equipped with automated external defibrillators (AEDs), oxygen, and a full range of first aid supplies.",Compliant"
"First aid kits are small and often missing essential supplies.",Partially Compliant"
"First aid supplies are locked away and difficult to access in emergencies.",Non-Compliant"
"Ergonomic program includes proactive workstation assessments, adjustable furniture, and employee training on proper posture and ergonomics principles.",Compliant"
"Ergonomic assessments are 'offered' but employees need to chase up to get them.",Partially Compliant"
"Ergonomics is seen as a 'luxury' and not a business priority.",Non-Compliant"
"Safety procedures are integrated into daily work processes, with job hazard analyses (JHAs) conducted for all tasks and regular safety briefings before starting work.",Compliant"
"Safety procedures are 'somewhere in a binder' and rarely consulted.",Partially Compliant"
"Safety procedures are considered unnecessary paperwork and actively ignored.",Non-Compliant"
"Hazardous material management system includes real-time monitoring of storage conditions, automated leak detection, and emergency shut-off systems.",Compliant"
"Hazardous material storage is 'mostly compliant' but not regularly monitored.",Partially Compliant"
"Hazardous materials are stored haphazardly and without proper containment.",Non-Compliant"
"Fire drills are conducted at varying times and scenarios to simulate realistic emergency situations, including evacuation drills and shelter-in-place procedures.",Compliant"
"Fire drills are announced in advance and everyone knows they are just a formality.",Partially Compliant"
"Fire drills are avoided as they are seen as disruptive to productivity.",Non-Compliant"
"Safety concerns reporting is incentivized through recognition programs and employee feedback is actively sought and incorporated into safety improvements.",Compliant"
"Safety concerns are 'noted' but rarely acted upon.",Partially Compliant"
"Employees are actively discouraged from raising safety concerns by management.",Non-Compliant"
"Workplace violence prevention program includes de-escalation training, security personnel, and a zero-tolerance policy for violence and harassment.",Compliant"
"Workplace violence prevention is 'mentioned' in the employee code of conduct.",Partially Compliant"
"Workplace violence is seen as 'part of some industries' and not proactively addressed.",Non-Compliant"
"Ventilation and air quality are continuously monitored with sensors and data is analyzed to optimize airflow and filtration, with proactive maintenance schedules.",Compliant"
"Ventilation is 'checked' when there are complaints about air quality.",Partially Compliant"
"Ventilation systems are old, poorly maintained, and air quality is often poor.",Non-Compliant"
"Electrical safety inspections include thermographic imaging, insulation testing, and load analysis, with proactive replacement of aging equipment.",Compliant"
"Electrical inspections are 'visual checks' done by untrained staff.",Partially Compliant"
"Electrical safety is only addressed after electrical failures or incidents.",Non-Compliant"
"Machine guarding is interlocked with machine controls, preventing operation if guards are removed or bypassed, and is subject to daily pre-shift checks.",Compliant"
"Machine guards are easily bypassed or removed by operators for 'convenience'.",Partially Compliant"
"Machine guarding is considered an impediment to productivity and minimized or removed.",Non-Compliant"
"Safe lifting training includes biomechanics principles, equipment demonstrations, and regular refresher courses with competency assessments.",Compliant"
"Safe lifting training is 'a pamphlet' that employees 'might read'.",Partially Compliant"
"Safe lifting is considered 'common sense' and no training is provided.",Non-Compliant"
"Fall protection program includes harness inspections, anchor point testing, and rescue plans, with mandatory fall protection for any work at height above 4 feet.",Compliant"
"Fall protection is 'suggested' for work at height, but not always enforced.",Partially Compliant"
"Fall protection is considered too slow and cumbersome and often skipped for 'quick jobs'.",Non-Compliant"
"Safety meetings are interactive, include employee-led toolbox talks, hazard hunts, and are documented with action items and follow-up tracking.",Compliant"
"Safety meetings are 'mostly just reading out safety statistics'.",Partially Compliant"
"Safety meetings are considered a waste of productive time and avoided.",Non-Compliant"
"Carbon footprint reduction strategy includes Scope 1, 2, and 3 emissions, with detailed plans for each area and regular progress reporting aligned with SBTi.",Compliant"
"We 'hope' to reduce our carbon footprint 'someday'.",Partially Compliant"
"Carbon footprint reduction is considered detrimental to business profitability.",Non-Compliant"
"Recycling program includes food waste composting, electronic waste recycling, and donation of reusable materials to charities, with detailed waste audits and diversion targets.",Compliant"
"Recycling is limited to 'whatever the janitor does'.",Partially Compliant"
"Recycling is not implemented as 'it's too complicated and messy'.",Non-Compliant"
"Energy-efficient design is incorporated into all new buildings and renovations, with LEED certification targets and ongoing energy performance monitoring.",Compliant"
"Energy efficiency is considered 'if it's a government requirement'.",Partially Compliant"
"Energy efficiency is not a consideration in building design or operations.",Non-Compliant"
"Water conservation includes closed-loop water systems, drought-tolerant landscaping, and employee education on water saving practices, with water usage KPIs and reduction goals.",Compliant"
"We 'ask' employees to 'not waste water'.",Partially Compliant"
"Water conservation is not practiced and water waste is common.",Non-Compliant"
"Waste reduction strategy includes circular economy principles, product take-back programs, and zero-waste-to-landfill targets, with regular waste stream analysis.",Compliant"
"We 'try' to reduce waste 'when it's easy'.",Partially Compliant"
"Waste reduction is not a business priority and waste generation is accepted as inevitable.",Non-Compliant"
"Sustainable sourcing program includes supplier scorecards based on ESG criteria, supplier engagement programs, and third-party certifications such as Fair Trade and FSC.",Compliant"
"Sustainable sourcing means 'buying from the cheapest supplier that claims to be sustainable'.",Partially Compliant"
"Sourcing decisions are solely based on price and availability, with no consideration for sustainability.",Non-Compliant"
"Environmental regulations compliance is assured through environmental management systems (EMS) certified to ISO 14001, regular legal updates, and external audits.",Compliant"
"We 'mostly follow' environmental regulations 'that we know about'.",Partially Compliant"
"Environmental regulations are seen as bureaucratic hurdles and actively circumvented.",Non-Compliant"
"Emissions monitoring includes continuous emissions monitoring systems (CEMS) for key pollutants, real-time data dashboards, and proactive pollution prevention measures.",Compliant"
"Emissions are 'checked occasionally' when required by permits, but data is not actively analyzed.",Partially Compliant"
"Emissions are not monitored and pollution is disregarded.",Non-Compliant"
"Hazardous waste management includes cradle-to-grave tracking, waste minimization techniques, and use of licensed and certified waste disposal facilities.",Compliant"
"Hazardous waste is 'stored in a shed' until 'someone deals with it'.",Partially Compliant"
"Hazardous waste is disposed of improperly to save costs or effort.",Non-Compliant"
"Biodiversity conservation program includes habitat restoration projects on company land, partnerships with local conservation groups, and biodiversity impact assessments for all projects.",Compliant"
"We 'donate to an environmental charity sometimes'.",Partially Compliant"
"Biodiversity is not considered relevant to our business and environmental impact.",Non-Compliant"
"Employee environmental awareness program includes gamified learning modules, sustainability challenges, and employee recognition for green initiatives.",Compliant"
"Environmental awareness is 'mentioned briefly' in onboarding materials.",Partially Compliant"
"Environmental awareness is not communicated to employees.",Non-Compliant"
"Continuous environmental performance improvement is driven by a formal Environmental Management Review (EMR) process, with management review of KPIs, targets, and action plans.",Compliant"
"Environmental performance is improved 'when there's time and budget'.",Partially Compliant"
"Environmental performance is not tracked or improved and environmental issues are ignored.",Non-Compliant"
"Environmental Impact Assessments (EIAs) are conducted to international best practice standards, include stakeholder consultation, and are publicly available online.",Compliant"
"EIAs are done 'quickly and internally' to 'meet basic requirements'.",Partially Compliant"
"EIAs are deliberately avoided or falsified to minimize environmental concerns.",Non-Compliant"
"Renewable energy procurement includes long-term power purchase agreements (PPAs), on-site solar and wind generation, and carbon offset programs for residual emissions.",Compliant"
"We 'consider' renewable energy 'if it's subsidized'.",Partially Compliant"
"Renewable energy is seen as too expensive and unreliable and fossil fuels are preferred.",Non-Compliant"
"Packaging is designed using life cycle assessments, with a focus on closed-loop recycling, bio-based materials, and minimization of material use and transportation impact.",Compliant"
"Packaging is 'mostly recyclable' and 'tries to be minimal'.",Partially Compliant"
"Packaging is excessive, non-recyclable, and designed for single use only.",Non-Compliant"
"Sustainable transportation program includes subsidized electric vehicle leases, extensive EV charging infrastructure, and promotion of public transport, cycling, and walking through incentives and facilities.",Compliant"
"We 'suggest' employees use 'greener transport options'.",Partially Compliant"
"Employee transportation is not considered part of environmental policy and employees are expected to commute however they want.",Non-Compliant"
"Water and energy audits are conducted by certified external auditors annually, with detailed reports, prioritized action plans, and regular progress tracking and reporting to senior management.",Compliant"
"Audits are 'done internally' by 'someone from facilities' and 'reports are rarely looked at'.",Partially Compliant"
"Audits for water and energy are not conducted and resource efficiency is not tracked.",Non-Compliant"
"Financial regulations compliance is overseen by a dedicated compliance department with legal and accounting expertise, and compliance is a key performance indicator for management.",Compliant"
"Financial regulation compliance is 'handled by the CFO and their team, mostly'.",Partially Compliant"
"Financial regulations are seen as 'hindrances to business' and minimized where possible.",Non-Compliant"
"Internal audit function has a charter approved by the board, a risk-based audit plan, and uses data analytics and continuous auditing techniques.",Compliant"
"Internal audit is 'reactive' and 'only looks at obvious issues'.",Partially Compliant"
"Internal audit is seen as 'unnecessary oversight' and actively resisted by management.",Non-Compliant"
"Financial transactions are processed through automated workflows with segregation of duties, multi-level approvals, and real-time transaction monitoring for anomalies.",Compliant"
"Financial transactions are 'mostly manual' and 'approval processes are sometimes skipped'.",Partially Compliant"
"Financial transactions are often undocumented and controls are easily bypassed.",Non-Compliant"
"Financial compliance training is mandatory for all employees, includes scenario-based learning, and is assessed through regular certifications, with disciplinary action for non-compliance.",Compliant"
"Financial compliance training is 'online' and 'employees can skip it if they are busy'.",Partially Compliant"
"Financial compliance training is not provided and employees are expected to 'just know' the rules.",Non-Compliant"
"Whistleblower policy is actively promoted through multiple channels, includes independent investigation by external parties, and protects whistleblowers with legal safeguards and anonymity.",Compliant"
"Whistleblowing is 'tolerated' but 'not really encouraged' and investigations are 'internal and discreet'.",Partially Compliant"
"Whistleblowing is actively suppressed and whistleblowers are punished or fired.",Non-Compliant"
"AML procedures are aligned with FATF recommendations, use KYC/CDD/EDD processes, and utilize transaction monitoring systems with AI and machine learning for anomaly detection.",Compliant"
"AML procedures are 'basic checks' and 'mostly manual'.",Partially Compliant"
"AML procedures are considered 'too costly and complicated' and not implemented.",Non-Compliant"
"KYC processes are risk-based, utilize biometric verification and third-party data sources, and are subject to ongoing monitoring and updates.",Compliant"
"KYC is 'a quick Google search' and 'checking a national ID'.",Partially Compliant"
"KYC is not performed to 'expedite customer onboarding' and 'minimize friction'.",Non-Compliant"
"Financial controls are embedded in ERP systems, include automated reconciliations, and are regularly tested and audited by internal and external auditors.",Compliant"
"Financial controls are 'manual spreadsheets' and 'checked occasionally by someone in accounting'.",Partially Compliant"
"Financial controls are weak, easily circumvented, and not regularly reviewed or updated.",Non-Compliant"
"Financial reporting is prepared by chartered accountants, audited by Big Four firms, and adheres to IFRS/GAAP, with full transparency and timely publication.",Compliant"
"Financial reporting is done by 'internal accountants' and 'reviewed briefly by management'.",Partially Compliant"
"Financial reports are deliberately falsified, incomplete, and misleading to hide financial problems or manipulate results.",Non-Compliant"
"Conflict of interest policy is comprehensive, requires annual declarations and updates, and is managed by an independent ethics committee with powers to investigate and enforce.",Compliant"
"Conflict of interest policy is 'a paragraph in the employee handbook' and 'self-policed'.",Partially Compliant"
"Conflicts of interest are 'accepted as normal business practice' and not actively managed or disclosed.",Non-Compliant"
"Budgeting process is rolling, zero-based, integrated with strategic planning, and uses performance-based budgeting and KPIs to track budget performance.",Compliant"
"Budgeting is 'incremental' and 'based on last year's budget plus a percentage increase'.",Partially Compliant"
"Budgeting is 'non-existent' or 'whatever the CEO decides at the last minute'.",Non-Compliant"
"Expense reporting system is fully automated, uses mobile apps, enforces policy rules, and integrates with credit card feeds and audit trails, with AI-powered fraud detection.",Compliant"
"Expense reporting is 'paper-based forms', 'manual approvals', and 'receipts are often lost or missing'.",Partially Compliant"
"Expense reporting is 'uncontrolled', 'receipts are not required', and 'abuse is rampant'.",Non-Compliant"
"Asset management is centralized, uses RFID tagging and barcoding, and is tracked in real-time with automated inventory management and depreciation calculation.",Compliant"
"Asset management is 'spreadsheets and manual counts' and 'inventory is done once a year, maybe'.",Partially Compliant"
"Asset management is 'non-existent', 'assets are not tracked', and 'losses are common and accepted'.",Non-Compliant"
"Tax compliance is managed by a dedicated tax department with international tax expertise, proactive tax planning, and regular updates on tax law changes, and is audited annually by tax specialists.",Compliant"
"Tax compliance is 'handled by the accounting department' 'when tax deadlines are approaching'.",Partially Compliant"
"Tax compliance is 'minimized where possible' and 'tax laws are seen as optional or suggestions'.",Non-Compliant"
"Fraud prevention program includes data analytics, continuous monitoring, proactive risk assessments, and a dedicated fraud investigation team with forensic accounting expertise.",Compliant"
"Fraud prevention is 'mostly reliant on internal controls' and 'periodic audits'.",Partially Compliant"
"Fraud prevention is 'not a priority', 'fraud is seen as a cost of doing business', and 'no fraud detection or investigation is done'.",Non-Compliant"
"Contract management system is centralized, uses digital signatures, tracks financial obligations, and includes automated alerts for deadlines and contract renewals, and is integrated with legal review workflows.",Compliant"
"Contract management is 'decentralized', 'spreadsheets', 'emails', and 'folders on shared drives'.",Partially Compliant"
"Contract management is 'non-existent', 'contracts are lost or forgotten', and 'financial obligations are often missed or ignored'.",Non-Compliant"
"Insurance coverage is comprehensive, reviewed annually by insurance brokers, includes all relevant risks, and has adequate coverage limits and cyber insurance, with regular risk assessments and policy updates.",Compliant"
"Insurance coverage is 'basic and minimal', 'not reviewed regularly', and 'cyber insurance is not considered'.",Partially Compliant"
"Insurance coverage is 'minimized to save costs', 'key risks are uninsured', and 'insurance is seen as an unnecessary expense'.",Non-Compliant"
"Financial risk assessments are quantitative, scenario-based, conducted quarterly by a risk management committee, integrated with enterprise risk management framework, and results are reported to the board of directors.",Compliant"
"Financial risk assessments are 'qualitative', 'infrequent', 'mostly based on gut feeling', and 'not formally documented or tracked'.",Partially Compliant"
"Financial risk assessments are 'not conducted', 'financial risks are ignored', and 'risk management is not a priority'.",Non-Compliant"
"Access to sensitive customer data is strictly controlled using role-based access control (RBAC) and the principle of least privilege, aligning with SOC 2 security criteria and ISO 27001 access control requirements.",Compliant"
"Access to customer data is generally restricted, but some employees have broader access than needed.",Partially Compliant"
"All employees have unrestricted access to all customer data.",Non-Compliant"
"We implement multi-factor authentication (MFA) for all employees accessing systems containing personal data, as part of our ISO 27001 certified ISMS and SOC 2 security controls.",Compliant"
"We use MFA for administrators only.",Partially Compliant"
"Multi-factor authentication is not used.",Non-Compliant"
"Data at rest and in transit is encrypted using AES-256 encryption, meeting SOC 2 confidentiality and ISO 27001 data protection standards.",Compliant"
"Sensitive data is encrypted in transit only.",Partially Compliant"
"No encryption is used for sensitive customer data.",Non-Compliant"
"Vulnerability scanning is performed weekly and penetration testing annually by independent security experts, in line with SOC 2 security and ISO 27001 risk management.",Compliant"
"Vulnerability scans are run occasionally, but penetration testing is not regularly performed.",Partially Compliant"
"Vulnerability scanning and penetration testing are not conducted.",Non-Compliant"
"Security monitoring systems are in place to detect and alert on security incidents in real-time, adhering to SOC 2 security monitoring and ISO 27001 incident management best practices.",Compliant"
"Security logs are reviewed periodically, but real-time monitoring is not in place.",Partially Compliant"
"Security logs are not regularly reviewed or monitored.",Non-Compliant"
"We maintain a comprehensive incident response plan that is tested annually through tabletop exercises, aligning with SOC 2 and ISO 27001 incident management requirements.",Compliant"
"We have a basic incident response plan, but it is not regularly tested.",Partially Compliant"
"We do not have a formal incident response plan.",Non-Compliant"
"Data retention policies are defined and enforced, ensuring data is retained only as long as necessary and in compliance with SOC 2 privacy criteria and ISO 27001 data handling policies.",Compliant"
"Data retention policies are in place, but not consistently enforced.",Partially Compliant"
"Data retention policies are not defined, and data is kept indefinitely.",Non-Compliant"
"Secure data disposal procedures are implemented, including data sanitization methods compliant with industry standards and SOC 2 confidentiality and ISO 27001 secure disposal requirements.",Compliant"
"Data disposal is performed using standard deletion, but not secure sanitization techniques.",Partially Compliant"
"Data is simply deleted without any secure disposal methods.",Non-Compliant"
"We conduct regular risk assessments covering data privacy and security risks, as required by ISO 27001 and recommended by SOC 2 frameworks.",Compliant"
"Risk assessments are performed infrequently and not comprehensively.",Partially Compliant"
"Risk assessments are not conducted for data privacy and security.",Non-Compliant"
"Our privacy policy is readily available on our website, clearly explains our data processing practices, and addresses SOC 2 privacy principles and relevant ISO 27001 controls.",Compliant"
"Our privacy policy is available, but difficult to find and not clearly written.",Partially Compliant"
"We do not have a publicly available privacy policy.",Non-Compliant"
"We have implemented a Privacy Information Management System (PIMS) aligned with ISO 27701, extending our ISO 27001 ISMS to specifically address privacy requirements and SOC 2 privacy criteria.",Compliant"
"We consider privacy, but do not have a formal Privacy Information Management System.",Partially Compliant"
"Privacy is not formally managed within our organization.",Non-Compliant"
"Employee training on data privacy and security is mandatory and covers SOC 2 relevant trust services criteria and ISO 27001 security awareness requirements.",Compliant"
"Data privacy and security training is offered, but not mandatory.",Partially Compliant"
"Data privacy and security training is not provided to employees.",Non-Compliant"
"Third-party vendors handling personal data are contractually obligated to meet our data privacy and security standards, and are subject to due diligence reviews, aligning with SOC 2 vendor management and ISO 27001 supply chain security.",Compliant"
"Third-party vendor contracts include basic data protection clauses, but due diligence is minimal.",Partially Compliant"
"Third-party vendors are not assessed for their data privacy and security practices.",Non-Compliant"
"Change management procedures are in place to ensure that changes to systems affecting data privacy and security are properly reviewed and authorized, as per ISO 27001 change management and SOC 2 change control requirements.",Compliant"
"Change management is informal and not consistently applied to changes affecting data privacy.",Partially Compliant"
"Change management procedures are not followed for system changes.",Non-Compliant"
"Business continuity and disaster recovery plans include data privacy and security considerations, ensuring continued protection of personal data in case of disruptions, aligning with SOC 2 availability and ISO 27001 business continuity management.",Compliant"
"Business continuity plans exist, but do not specifically address data privacy and security.",Partially Compliant"
"Business continuity and disaster recovery plans are not in place.",Non-Compliant"
"Internal audits are conducted regularly to assess compliance with data privacy and security policies and procedures, including SOC 2 controls and ISO 27001 ISMS requirements.",Compliant"
"Internal audits are infrequent and do not specifically focus on data privacy and security.",Partially Compliant"
"Internal audits are not conducted for data privacy and security compliance.",Non-Compliant"
"We have a designated individual responsible for overseeing data privacy and security compliance, ensuring alignment with SOC 2 oversight responsibilities and ISO 27001 management responsibilities.",Compliant"
"Data privacy and security responsibilities are shared across multiple roles without clear accountability.",Partially Compliant"
"No one is specifically responsible for data privacy and security compliance.",Non-Compliant"
"Data classification policies are implemented to categorize data based on sensitivity, ensuring appropriate protection levels are applied according to ISO 27001 data classification and SOC 2 confidentiality requirements.",Compliant"
"Data is classified into 'public' and 'private', but sensitivity levels are not clearly defined.",Partially Compliant"
"Data classification is not implemented; all data is treated the same.",Non-Compliant"
"Users are provided with clear mechanisms to exercise their data subject rights, such as access, rectification, and deletion of their personal data, in accordance with SOC 2 privacy criteria and general data privacy best practices.",Compliant"
"Users can request data access, but the process is cumbersome and slow.",Partially Compliant"
"Users are not provided with mechanisms to exercise their data subject rights.",Non-Compliant"
"Data minimization principles are applied, ensuring we collect and retain only the necessary personal data for specified purposes, aligning with SOC 2 privacy principles and data minimization best practices.",Compliant"
"We collect a broad range of data 'just in case' it might be useful later.",Partially Compliant"
"We collect as much personal data as possible, regardless of necessity.",Non-Compliant"
"Purpose limitation is enforced, ensuring personal data is processed only for the purposes for which it was collected and disclosed to users, as per SOC 2 privacy principles and purpose limitation best practices.",Compliant"
"Data is often used for secondary purposes beyond the original collection purpose without explicit consent.",Partially Compliant"
"Personal data is used for any purpose deemed beneficial to the organization, regardless of the original purpose.",Non-Compliant"
"Consent mechanisms for data processing are explicit, informed, and freely given, meeting the requirements of SOC 2 privacy criteria and general consent best practices.",Compliant"
"Consent is implied or bundled within terms of service.",Partially Compliant"
"Data is processed without obtaining any user consent.",Non-Compliant"
"We ensure data accuracy and integrity through regular data validation and quality checks, aligning with SOC 2 processing integrity and general data quality best practices.",Compliant"
"Data accuracy is checked 'sometimes' but not systematically.",Partially Compliant"
"Data accuracy and integrity are not actively managed.",Non-Compliant"
"We comply with applicable legal and regulatory requirements related to data privacy and security, including SOC 2 Trust Services Criteria and ISO 27001 standards.",Compliant"
"We 'try' to comply with data privacy and security regulations.",Partially Compliant"
"Data privacy and security regulations are seen as optional guidelines.",Non-Compliant"
"Our security policies and procedures are documented, regularly reviewed, and updated to reflect changes in threats and best practices, in line with ISO 27001 policy management and SOC 2 control environment.",Compliant"
"Security policies are documented, but rarely reviewed or updated.",Partially Compliant"
"Security policies and procedures are not formally documented.",Non-Compliant"
"We maintain audit logs of access to personal data and system activities, enabling monitoring and investigation of security events and compliance with SOC 2 audit logging and ISO 27001 monitoring requirements.",Compliant"
"Audit logs are enabled, but not regularly reviewed or analyzed.",Partially Compliant"
"Audit logs are not enabled or maintained.",Non-Compliant"
"Physical security measures are in place to protect data centers and systems containing personal data, including access controls, environmental controls, and monitoring, aligning with SOC 2 physical security and ISO 27001 physical and environmental security.",Compliant"
"Physical security measures are basic and not comprehensive.",Partially Compliant"
"Physical security measures are minimal or non-existent for data centers and systems.",Non-Compliant"
"We conduct regular security awareness training campaigns to reinforce data privacy and security best practices among employees, enhancing our SOC 2 security culture and ISO 27001 security awareness program.",Compliant"
"Security awareness training is a one-time event during onboarding.",Partially Compliant"
"Security awareness training is not provided.",Non-Compliant"
"We use data loss prevention (DLP) tools to monitor and prevent unauthorized exfiltration of sensitive data, enhancing our data protection controls for SOC 2 and ISO 27001 compliance.",Compliant"
"DLP tools are used for some data types, but not comprehensively.",Partially Compliant"
"Data Loss Prevention tools are not implemented.",Non-Compliant"
"We have a formal data governance framework in place to oversee data privacy, security, and quality across the organization, aligning with SOC 2 organizational controls and ISO 27001 governance requirements.",Compliant"
"Data governance is informal and not consistently applied.",Partially Compliant"
"Data governance framework is not in place.",Non-Compliant"
"Regular access reviews are conducted at least quarterly to ensure access privileges are appropriate and aligned with job roles, meeting SOC 2 and ISO 27001 requirements for access management.",Compliant"
"Access reviews are performed annually, but not always consistently.",Partially Compliant"
"Access reviews are not conducted, and access privileges are rarely updated.",Non-Compliant"
"Temporary access elevation is granted only through a documented and approved process, with automatic revocation after a defined period, adhering to SOC 2 and ISO 27001 temporary access control guidelines.",Compliant"
"Temporary access is granted informally via email request and is rarely revoked promptly.",Partially Compliant"
